subject,description,priority,category,tags,sentiment_self_reported
Dark mode toggle (Sample #1),A dark theme option should be added to reduce eye strain during night usage.,Low,Feature Request,"ui,accessibility",Positive
Export to JSON format (Sample #2),Allow users to export tables and graphs directly to JSON.,Medium,Feature Request,"export,data",Neutral
Dashboard loading slow (Sample #3),The dashboard takes over 21 seconds to load when fetching yearly metrics.,High,Improvement,"dashboard,performance",Negative
Password reset link expired (Sample #4),"Password reset emails arrive 20 minutes late, causing them to be expired.",Critical,Bug,"auth,email",Negative
Session timeout too short (Sample #5),"User session expires every 15 minutes, which is disruptive to workflows.",High,Improvement,"security,session",Negative
Mobile app crash on logout (Sample #6),The Android application crashes immediately when the user logs out.,Critical,Bug,"mobile,crash",Negative
Search results irrelevant (Sample #7),Full-text search results do not prioritize exact matches for user titles.,Medium,Improvement,"search,relevance",Negative
Dark mode toggle (Sample #8),A dark theme option should be added to reduce eye strain during night usage.,Low,Feature Request,"ui,accessibility",Positive
Integrate Slack login (Sample #9),Provide OAuth authentication option using Slack for easier login.,Medium,Feature Request,"auth,integration",Positive
Support chat widget (Sample #10),Add an interactive support chat widget in the help center page.,Medium,Feature Request,"support,chat",Positive
MFA configuration error (Sample #11),Setting up MFA with Duo Security gives a 500 error code during code verification.,Critical,Bug,"security,auth,mfa",Negative
Notification settings toggle (Sample #12),Add granular toggle options for email vs. push notifications.,Low,Improvement,"settings,notifications",Neutral
Profile picture crop tool (Sample #13),Add a cropping utility when uploading profile photos.,Low,Improvement,"profile,ui",Neutral
Billing invoice receipt download (Sample #14),Invoice PDF downloads fail with a network error on the billing page.,High,Bug,"billing,finance",Negative
Session timeout too short (Sample #15),"User session expires every 15 minutes, which is disruptive to workflows.",High,Improvement,"security,session",Negative
Filter by date range in reports (Sample #16),The reporting tab needs custom start/end date selectors.,High,Feature Request,"reports,filters",Positive
Filter by date range in reports (Sample #17),The reporting tab needs custom start/end date selectors.,High,Feature Request,"reports,filters",Positive
Automated backup settings (Sample #18),Allow teams to schedule automated backups of their workspace data.,High,Feature Request,"backup,security",Positive
Session timeout too short (Sample #19),"User session expires every 15 minutes, which is disruptive to workflows.",High,Improvement,"security,session",Negative
Support chat widget (Sample #20),Add an interactive support chat widget in the help center page.,Medium,Feature Request,"support,chat",Positive
Broken link in footer (Sample #21),The privacy policy link in the footer returns a 404 error page.,Medium,Bug,"ui,broken-link",Negative
CSV import validation error (Sample #22),Importing user CSVs doesn't show descriptive errors for invalid columns.,High,Bug,"import,csv",Negative
Mobile app crash on logout (Sample #23),The Android application crashes immediately when the user logs out.,Critical,Bug,"mobile,crash",Negative
Password reset link expired (Sample #24),"Password reset emails arrive 20 minutes late, causing them to be expired.",Critical,Bug,"auth,email",Negative
Dark mode toggle (Sample #25),A dark theme option should be added to reduce eye strain during night usage.,Low,Feature Request,"ui,accessibility",Positive
API rate limit documentation (Sample #26),API documentation is missing details on rate limiting limits per tier.,Medium,Improvement,"api,documentation",Neutral
Billing invoice receipt download (Sample #27),Invoice PDF downloads fail with a network error on the billing page.,High,Bug,"billing,finance",Negative
API rate limit documentation (Sample #28),API documentation is missing details on rate limiting limits per tier.,Medium,Improvement,"api,documentation",Neutral
Mobile app crash on logout (Sample #29),The Android application crashes immediately when the user logs out.,Critical,Bug,"mobile,crash",Negative
Dashboard loading slow (Sample #30),The dashboard takes over 12 seconds to load when fetching yearly metrics.,High,Improvement,"dashboard,performance",Negative
Integrate GitHub login (Sample #31),Provide OAuth authentication option using GitHub for easier login.,Medium,Feature Request,"auth,integration",Positive
CSV import validation error (Sample #32),Importing user CSVs doesn't show descriptive errors for invalid columns.,High,Bug,"import,csv",Negative
CSV import validation error (Sample #33),Importing user CSVs doesn't show descriptive errors for invalid columns.,High,Bug,"import,csv",Negative
Password reset link expired (Sample #34),"Password reset emails arrive 20 minutes late, causing them to be expired.",Critical,Bug,"auth,email",Negative
API rate limit documentation (Sample #35),API documentation is missing details on rate limiting limits per tier.,Medium,Improvement,"api,documentation",Neutral
Session timeout too short (Sample #36),"User session expires every 15 minutes, which is disruptive to workflows.",High,Improvement,"security,session",Negative
Filter by date range in reports (Sample #37),The reporting tab needs custom start/end date selectors.,High,Feature Request,"reports,filters",Positive
MFA configuration error (Sample #38),Setting up MFA with Duo Security gives a 500 error code during code verification.,Critical,Bug,"security,auth,mfa",Negative
Filter by date range in reports (Sample #39),The reporting tab needs custom start/end date selectors.,High,Feature Request,"reports,filters",Positive
CSV import validation error (Sample #40),Importing user CSVs doesn't show descriptive errors for invalid columns.,High,Bug,"import,csv",Negative
CSV import validation error (Sample #41),Importing user CSVs doesn't show descriptive errors for invalid columns.,High,Bug,"import,csv",Negative
